Tweet,emotion
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,other
Whatever you decide to do make sure it makes you #happy.,joy
Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,joy
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,anger
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,joy
Do you think humans have the sense for recognizing impending doom? ,other
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",anger
it's pretty depressing when u hit pan on ur favourite highlighter,sadness
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,anger
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,sadness
And it's hard to dance with a devil on your back\nSo shake him off.,other
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,joy
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,sadness
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,sadness
@BitchestheCat Look at those teef! #growl,anger
"The bitter the battle, the sweeter the victory...",joy
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,sadness
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,anger
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,sadness
Awareness of time is awareness of time lost. #awareness #time ,joy
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,anger
@zorefx you guys will see what i did in the next video but its fucking horrid,sadness
What a fucking muppet.  @jRwild1  #stalker.,anger
@adamrodricks I like your optimism!,joy
@FaithHill I remember it well #happy #afraid #Positive,joy
Autocorrect changes ''em' to 'me' which I resent greatly,anger
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,sadness
You have to find a way to top yourself. #glee,joy
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,anger
#smile every morning to a positive head start with your #clients relations,joy
I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,other
@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,other
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,other
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),sadness
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",other
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,anger
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",sadness
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,joy
@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,joy
Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,other
@wabermes The @RavalliRepublic had a good one but then the reporter quit. ,other
@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,joy
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",sadness
