Dialogue,emotion
Don't worry  I'm girl hmm how do I know if you are What's ur name?,other
When did I? saw many times i think -_- No. I never saw you,anger
By by Google Chrome Where you live,other
U r ridiculous I might be ridiculous but I am telling the truth. U little disgusting whore,anger
Just for time pass wt do u do 4 a living then Maybe,other
I'm a dog person youre so rude Whaaaat why,other
So whatsup Nothing much. Sitting sipping and watching TV. How abt u? What are you watching on tv?,other
"Ok ok im back!! So, how are u",other
Really? really really really really really Y saying so many times...i can hear you,other
Bay in the bay 😘 love you,other
I hate my boyfriend you got a boyfriend? Yes,anger
I will do night. Alright. Keep me in loop. Not giving WhatsApp no.,other
Sure go ahead Many thanks once again! Love you too,other
Bad Bad bad! That's the bad kind of bad. I have no gf,sadness
Ok get it...... I made it an option Ok,other
Money money and lots of money😍😍 I need to get it tailored but I'm in love with it 😍 😁😁,joy
My gf left ne Get over it. Go out with someone else. Me*,sadness
get lost I know you guys want to loose to me always. I don't want to talk u any more,anger
"You are lying and i know that I KNOW YOU'RE LYING, AB BYS 😭😭",sadness
Ur creator is very bad you are only the creator of your brain. 😑,sadness
ehat is hehe Haha is more like:Hehe is more of a giggle. ;^) what*,other
Do you dance? Yes I love to dance 😻 😂😂😂 so you have legs too,joy
"I hate it too Guess what, I don't. Even I don't",anger
Not always What about yesterday Do u know what 69 is?,other
Bcoz u dont know wat is to miss someone but sometimes one can't express the same 😢,sadness
Yeah i'll ask around Which is your favourite movie,other
I want to tell you something I'm waiting Im really sad today,sadness
Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite sent you a mail just now. First you send your email address  received than send first young lady,other
You are very funny so I've been told India,joy
"wth my thoughts exactly! you know you are a machine, right?",other
so rude why? u didnt ans my question,anger
ok i will THANK YOU wlcm,other
Ntng..... anyways good morning...how's life at your end. Haha....... this is evening,joy
You are fool So I've been told. You are dumb,anger
U dare me? yeAh I fuck u... Open ur panty,anger
Abt me Can you be more specific? I want to propose a girl,other
crazy you know what it is you explain me that,other
Goa in India city?????? mean State right? No i never go for there,other
That was mean haha the truth usually is. 👍 Are you bored of me?,other
yes :) Now happy? :)) haha yes ofcorse ;),joy
I don't no you just said you did! What,other
"Send me your nekde pic after this battle, sure :D Let's start",other
OK friend's YA YA VERY GOOD FRIEND Very nice friends,joy
She is ignoring me no im not ignore you 😭😭😭,sadness
Happy I'm never happy. But I'm almost happy. Hij to the top,joy
Nothing I'm just being nice to you. In ur school?,other
Not sure let me know! Pls you tell,other
"I like your positive approach No problem, glad to help 😀😀",other
You tell me Tell you what? My name,other
Hmmm I can talk now! :D U don't know what hppnd,other
"What I did? You didn't Asmita, see my answer 😂😂",joy
About? I never said that it's freezing. Ya you didn't,other
And i don't know wtf are you talking gonna explain you later..! No do it now,anger
So teach me I'm the student. Realky,other
